"","x"
"SL330221.genes.results",0
"SL330224.genes.results",1
"SL330225.genes.results",1
"SL330230.genes.results",1
"SL330231.genes.results",1
"SL330250.genes.results",0
"SL330253.genes.results",0
"SL330254.genes.results",1
"SL330256.genes.results",0
"SL330257.genes.results",1
"SL330271.genes.results",0
"SL330274.genes.results",1
"SL330275.genes.results",1
"SL330277.genes.results",0
"SL330278.genes.results",1
"SL330279.genes.results",0
"SL330378.genes.results",0
"SL331579.genes.results",0
"SL331580.genes.results",0
"SL331583.genes.results",0
"SL331589.genes.results",0
"SL331598.genes.results",1
"SL331599.genes.results",0
"SL331604.genes.results",0
"SL331608.genes.results",0
"SL331618.genes.results",0
"SL331619.genes.results",0
"SL331620.genes.results",1
"SL331623.genes.results",0
"SL331627.genes.results",0
"SL331629.genes.results",0
"SL331630.genes.results",0
"SL331647.genes.results",0
"SL331649.genes.results",0
"SL331651.genes.results",0
"SL331655.genes.results",0
"SL331657.genes.results",0
"SL331659.genes.results",1
"SL335627.genes.results",0
"SL335645.genes.results",0
"SL335646.genes.results",0
"SL335648.genes.results",0
"SL335650.genes.results",0
"SL335657.genes.results",0
"SL335660.genes.results",0
"SL335663.genes.results",0
"SL335667.genes.results",0
"SL335670.genes.results",0
"SL335671.genes.results",0
"SL335673.genes.results",0
"SL337285.genes.results",0
"SL337286.genes.results",1
"SL337287.genes.results",0
"SL337292.genes.results",1
"SL337306.genes.results",0
"SL337308.genes.results",1
"SL337310.genes.results",1
"SL337311.genes.results",1
"SL337312.genes.results",1
"SL337314.genes.results",0
"SL337316.genes.results",0
"SL337317.genes.results",1
"SL337318.genes.results",1
"SL337319.genes.results",1
"SL337320.genes.results",0
"SL337321.genes.results",0
"SL337325.genes.results",0
"SL337327.genes.results",0
"SL337329.genes.results",0
"SL337336.genes.results",1
"SL337338.genes.results",0
"SL337341.genes.results",0
"SL337343.genes.results",0
"SL337345.genes.results",1
"SL337347.genes.results",1
"SL337349.genes.results",0
"SL337353.genes.results",0
"SL337354.genes.results",0
"SL337355.genes.results",1
"SL337361.genes.results",1
"SL337363.genes.results",1
"SL337366.genes.results",1
"SL337367.genes.results",0
"SL337436.genes.results",0
"SL337459.genes.results",1
"SL337460.genes.results",1
"SL337463.genes.results",0
"SL337465.genes.results",0
"SL337466.genes.results",0
"SL337482.genes.results",1
"SL337487.genes.results",1
"SL337488.genes.results",0
"SL337489.genes.results",0
"SL337510.genes.results",0
"SL337512.genes.results",1
"SL339380.genes.results",0
"SL339381.genes.results",0
"SL339382.genes.results",0
"SL339383.genes.results",0
"SL339384.genes.results",1
"SL339385.genes.results",0
"SL339386.genes.results",0
"SL339387.genes.results",0
"SL339388.genes.results",0
"SL339389.genes.results",0
"SL339390.genes.results",0
"SL339391.genes.results",0
"SL339392.genes.results",0
"SL339393.genes.results",0
"SL339394.genes.results",0
"SL339412.genes.results",1
"SL339413.genes.results",0
"SL339414.genes.results",1
"SL339415.genes.results",1
"SL339416.genes.results",0
"SL339417.genes.results",1
"SL339418.genes.results",0
"SL339419.genes.results",1
"SL339422.genes.results",1
"SL339429.genes.results",0
"SL339430.genes.results",0
"SL339431.genes.results",0
"SL339432.genes.results",1
"SL339433.genes.results",0
"SL339434.genes.results",0
"SL339435.genes.results",1
"SL339436.genes.results",0
"SL339437.genes.results",0
"SL339438.genes.results",0
"SL339439.genes.results",0
"SL339440.genes.results",0
"SL339441.genes.results",0
"SL339447.genes.results",1
"SL339452.genes.results",0
"SL339454.genes.results",0
"SL339455.genes.results",1
"SL339456.genes.results",0
"SL339457.genes.results",0
"SL339458.genes.results",0
"SL339459.genes.results",0
"SL339461.genes.results",0
"SL339463.genes.results",1
"SL339464.genes.results",0
"SL339465.genes.results",0
"SL339466.genes.results",0
"SL339467.genes.results",0
