"sample","buffa.score"
"26f043ec-e906-46b2-98d0-7c2d0e91237a",1
"27271a4a-5f90-40a8-9f31-fe2bed0d8972",-17
"274bcdb9-fbe9-42cf-8744-bdab220a05a5",19
"275c2704-9c65-45bf-8d9a-ec373534e0e1",9
"27613caf-ad9d-46cf-a72b-0096c34813ee",33
"2779c6f1-a12f-4a6f-8625-3feeff46026a",5
"2780fc78-fe98-46d8-bd99-5ce55fe24294",23
"27d83a7f-df1c-401f-8c55-67a449542a0b",7
"27dd2138-aae6-471f-8861-b1a30ca28d4f",17
"27df57a6-7977-4f23-ad2f-ced3347f774d",41
"2808ff3d-988a-4f7c-8d0c-c07b7e5169a7",-7
"282d4c7c-c230-4273-9b3d-a70a52e82f7b",-35
"283c4256-f681-412e-862f-048bb3682165",15
"28611ad9-8a76-4847-90d8-8ea9c4c5ebfc",-37
"28719eae-2880-486f-9360-e7023ee6d750",35
"28720118-c69f-4af9-9d76-d433dbf48615",-17
"28a701c3-3a69-43d8-99f7-abf20c4f7e42",-25
"293a69ae-a07b-4e32-a463-accbee5b3abc",-1
"299102f7-9ef8-49b2-a815-3f0faf176006",-11
"29d6550b-4244-4775-b12a-e99957458ed4",21
"29e74495-0283-4211-9b6e-c0371dfc4b37",3
"29f8cd8d-6125-47a2-9bb3-d7fab9220fae",29
"29fa3da5-59d1-466f-843e-24623b83ba31",27
"2a20147d-ce91-4e63-af56-91cc83338ac6",-45
"2a2c8544-0764-4770-b145-9acab5fb419c",-31
"2a6852ed-cd55-4990-a7cf-655a0a2f4716",-35
"2a6931a9-c97e-4d53-8cfd-0394c9a5d311",7
"2a798f67-1c22-4768-a278-101f0927c414",1
"2aa3a12c-43ad-4780-8ad0-f1fb943a34c8",1
"2aeb6827-a410-4974-b3c9-b7818c44171a",-33
"2b333777-3829-4c40-a8dd-5cc61e3d53a2",29
"2b58ae8d-17fd-42a4-b13b-f3ef4c8c2f92",27
"2b5b2b73-4593-48ed-aa54-bba92d5579cd",33
"2b9447d0-94b8-4f59-9c2b-8d36b292742e",13
"2bf26f13-dfd4-4ecc-92b5-dd97600092dc",27
"2c000a18-9a1b-41d1-a138-a5ae0d56f78c",35
"2c1783c1-2f78-41ac-b8cc-072e44c10bc0",31
"2c17a552-4e49-4018-bd36-d6aa10196ccd",-21
"2c3fd34c-70d1-4331-9628-260b77329b53",5
"2c6db074-9c5e-48c9-96c8-9eeaac118671",31
"2c76067c-f690-4d7c-b5fd-69b9facb0d21",-21
"2c7cb8b2-4c26-4f91-8bff-48369144d8f7",-1
